1	4.10E-10	370.765075	
1	5.17E-10	386.2321247	
1	6.51E-10	469.0685151	
1	8.20E-10	525.8173801	
1	1.03E-09	519.6024503	
1	1.30E-09	426.9992271	
1	1.64E-09	268.1065738	
1	2.07E-09	115.6914899	
1	2.60E-09	31.05789416	
1	3.28E-09	4.929299363	
1	4.13E-09	0.472707589	
1	5.21E-09	2.94E-02	
1	6.56E-09	1.27E-03	
1	8.27E-09	3.98E-05	
1	1.04E-08	9.26E-07	
1	1.31E-08	1.62E-08	
1	1.65E-08	2.16E-10	
1	2.08E-08	2.18E-12	
1	2.62E-08	1.69E-14	
1	3.31E-08	1.01E-16	
2	4.10E-10	448.9230544	
2	5.17E-10	467.5219685	
2	6.51E-10	567.6699716	
2	8.20E-10	636.2195068	
2	1.03E-09	628.5694102	
2	1.30E-09	516.4322608	
2	1.64E-09	324.1871868	
2	2.07E-09	139.8620927	
2	2.60E-09	37.540566	
2	3.28E-09	5.957597094	
2	4.13E-09	0.571295389	
2	5.21E-09	3.55E-02	
2	6.56E-09	1.53E-03	
2	8.27E-09	4.81E-05	
2	1.04E-08	1.12E-06	
2	1.31E-08	1.96E-08	
2	1.65E-08	2.61E-10	
2	2.08E-08	2.64E-12	
2	2.62E-08	2.04E-14	
2	3.31E-08	1.22E-16	
3	4.10E-10	522.0558241	
3	5.17E-10	543.2990214	
3	6.51E-10	659.310824	
3	8.20E-10	738.541689	
3	1.03E-09	729.2705812	
3	1.30E-09	598.8266716	
3	1.64E-09	375.6905825	
3	2.07E-09	161.9951642	
3	2.60E-09	43.46323574	
3	3.28E-09	6.895746576	
3	4.13E-09	0.661187774	
3	5.21E-09	4.11E-02	
3	6.56E-09	1.77E-03	
3	8.27E-09	5.56E-05	
3	1.04E-08	1.30E-06	
3	1.31E-08	2.27E-08	
3	1.65E-08	3.02E-10	
3	2.08E-08	3.05E-12	
3	2.62E-08	2.36E-14	
3	3.31E-08	1.41E-16	
4	4.10E-10	592.0208169	
4	5.17E-10	615.4492149	
4	6.51E-10	746.23522	
4	8.20E-10	835.2516679	
4	1.03E-09	824.0963982	
4	1.30E-09	676.1053148	
4	1.64E-09	423.7978331	
4	2.07E-09	182.5901311	
4	2.60E-09	48.95787651	
4	3.28E-09	7.764491611	
4	4.13E-09	0.744366072	
4	5.21E-09	4.63E-02	
4	6.56E-09	2.00E-03	
4	8.27E-09	6.26E-05	
4	1.04E-08	1.46E-06	
4	1.31E-08	2.56E-08	
4	1.65E-08	3.40E-10	
4	2.08E-08	3.44E-12	
4	2.62E-08	2.66E-14	
4	3.31E-08	1.58E-16	
5	4.10E-10	659.2261715	
5	5.17E-10	684.3384814	
5	6.51E-10	828.8319912	
5	8.20E-10	926.728038	
5	1.03E-09	913.3637576	
5	1.30E-09	748.4795739	
5	1.64E-09	468.6109523	
5	2.07E-09	201.6791753	
5	2.60E-09	54.03071775	
5	3.28E-09	8.564590694	
5	4.13E-09	0.820893999	
5	5.21E-09	5.10E-02	
5	6.56E-09	2.20E-03	
5	8.27E-09	6.91E-05	
5	1.04E-08	1.61E-06	
5	1.31E-08	2.82E-08	
5	1.65E-08	3.75E-10	
5	2.08E-08	3.79E-12	
5	2.62E-08	2.93E-14	
5	3.31E-08	1.75E-16	
6	4.10E-10	724.1458904	
6	5.17E-10	750.3931188	
6	6.51E-10	907.5560146	
6	8.20E-10	1013.416314	
6	1.03E-09	997.4490165	
6	1.30E-09	816.2044652	
6	1.64E-09	510.2564395	
6	2.07E-09	219.3040762	
6	2.60E-09	58.69039808	
6	3.28E-09	9.297171042	
6	4.13E-09	0.89087015	
6	5.21E-09	5.54E-02	
6	6.56E-09	2.39E-03	
6	8.27E-09	7.50E-05	
6	1.04E-08	1.75E-06	
6	1.31E-08	3.06E-08	
6	1.65E-08	4.07E-10	
6	2.08E-08	4.12E-12	
6	2.62E-08	3.18E-14	
6	3.31E-08	1.90E-16	
7	4.10E-10	786.9305634	
7	5.17E-10	813.6984181	
7	6.51E-10	982.444892	
7	8.20E-10	1095.291587	
7	1.03E-09	1076.261668	
7	1.30E-09	879.1503549	
7	1.64E-09	548.6192018	
7	2.07E-09	235.4025598	
7	2.60E-09	62.91770668	
7	3.28E-09	9.95895121	
7	4.13E-09	0.953970871	
7	5.21E-09	5.93E-02	
7	6.56E-09	2.56E-03	
7	8.27E-09	8.03E-05	
7	1.04E-08	1.87E-06	
7	1.31E-08	3.28E-08	
7	1.65E-08	4.36E-10	
7	2.08E-08	4.41E-12	
7	2.62E-08	3.41E-14	
7	3.31E-08	2.03E-16	
8	4.10E-10	847.9344653	
8	5.17E-10	874.5500477	
8	6.51E-10	1053.790969	
8	8.20E-10	1172.61447	
8	1.03E-09	1149.994172	
8	1.30E-09	937.4217867	
8	1.64E-09	583.7329054	
8	2.07E-09	249.9774954	
8	2.60E-09	66.71116945	
8	3.28E-09	10.54949276	
8	4.13E-09	1.010146337	
8	5.21E-09	6.28E-02	
8	6.56E-09	2.71E-03	
8	8.27E-09	8.50E-05	
8	1.04E-08	1.98E-06	
8	1.31E-08	3.47E-08	
8	1.65E-08	4.62E-10	
